Date,Open,High,Low,Close,Adj Close,Volume
2008-04-07,57.080002,57.080002,52.939999,54.540001,36.721794,11609000
2008-04-14,54.410000,59.130001,53.660000,56.639999,38.135719,12956300
2008-04-21,54.299999,56.759998,53.849998,56.180000,37.826004,11288900
2008-04-28,56.200001,57.200001,53.340000,53.990002,36.351479,12975700
2008-05-05,54.180000,54.360001,50.060001,51.230000,34.493164,13036200
2008-05-12,51.720001,56.000000,51.230000,53.869999,36.270687,13228700
2008-05-19,53.639999,53.990002,44.110001,49.369999,33.240829,31160300
2008-05-26,49.180000,50.669998,48.270000,49.599998,33.395691,14038500
2008-06-02,49.419998,49.860001,45.000000,45.000000,30.298502,18994900
2008-06-09,45.500000,46.470001,42.509998,44.509998,29.968599,21895000
2008-06-16,45.590000,48.529999,45.419998,45.419998,30.581289,22411600
2008-06-23,45.439999,46.970001,42.709999,42.830002,28.837450,15477900
2008-06-30,42.509998,43.160000,38.320000,38.779999,26.110575,16384000
2008-07-07,39.020000,41.459999,37.619999,39.279999,26.447224,17562400
2008-07-14,40.049999,45.450001,38.630001,45.250000,30.466835,18139600
2008-07-21,45.279999,45.790001,41.340000,41.540001,27.968895,14575400
2008-07-28,41.459999,42.299999,39.070000,39.830002,26.817547,13285300
2008-08-04,39.750000,44.439999,38.820000,44.220001,29.773340,11311000
2008-08-11,43.720001,47.689999,43.029999,43.209999,29.093298,16504000
2008-08-18,43.480000,45.020000,39.900002,44.160000,29.732935,23758300
2008-08-25,43.669998,44.750000,42.099998,43.869999,29.537676,10535400
2008-09-01,44.340000,46.230000,42.380001,43.630001,29.376085,11697900
2008-09-08,44.270000,46.360001,40.410000,41.209999,27.746698,14616200
2008-09-15,39.310001,41.660000,35.020000,37.700001,25.383419,24971400
2008-09-22,37.930000,37.930000,33.290001,36.160000,24.346531,16188300
2008-09-29,36.380001,38.419998,32.799999,35.279999,23.754028,18429000
2008-10-06,33.900002,34.900002,26.389999,29.100000,19.593033,21370800
2008-10-13,31.610001,36.840000,27.219999,31.840000,21.437874,18563700
2008-10-20,32.220001,33.950001,24.090000,25.730000,17.324011,13917800
2008-10-27,25.290001,31.469999,24.510000,27.389999,18.441687,14299200
2008-11-03,27.780001,28.000000,23.530001,25.100000,16.899836,14257400
2008-11-10,25.730000,26.459999,21.160000,23.280001,15.674429,13883300
2008-11-17,23.260000,24.250000,16.910000,17.980000,12.105932,23459400
2008-11-24,18.330000,22.500000,17.750000,21.850000,14.711604,12430500
2008-12-01,21.650000,21.650000,18.010000,21.270000,14.321092,19233600
2008-12-08,22.379999,25.100000,21.770000,24.129999,16.246733,20653800
